level,place,active_time,study_place_condition,movement_effect,light_air,phone_usage,phone_effect,biggest_distraction,stress_effect,sleep_effect,after_long_study,liked_subject_focus,not_understanding_action,goal_effect,satisfaction,comparison_classroom,productivity,main_problem,improvement,target
3,0,3,0,2,0,1,2,2,1,0,2,1,1,0,0,2,2,28,1,0
3,0,2,0,2,0,1,2,3,0,1,1,1,2,0,1,1,1,34,0,1
3,1,2,2,2,0,3,2,0,2,1,1,3,0,0,0,2,2,26,12,0
4,0,2,2,0,0,1,1,2,2,2,0,0,0,2,1,1,1,16,2,1
3,0,2,0,2,0,2,1,3,2,0,2,1,1,0,1,1,1,21,9,1
3,1,3,2,2,1,2,2,0,2,0,2,1,1,0,1,1,1,16,7,1
4,0,2,2,2,0,2,1,2,2,0,2,0,1,2,1,1,1,8,6,1
3,0,3,0,2,0,1,2,2,2,0,0,1,2,0,0,1,1,34,0,1
4,0,2,0,0,1,1,1,3,2,2,2,1,1,2,0,2,2,35,0,0
3,1,2,0,0,0,1,1,3,2,0,2,3,1,0,0,0,2,8,0,0
3,1,2,2,2,0,2,2,3,2,0,2,1,0,0,1,1,1,26,0,1
3,0,2,0,2,1,2,2,2,1,0,2,1,2,0,1,1,1,2,9,1
4,0,2,0,2,0,2,1,2,2,0,2,1,1,0,1,1,1,5,14,1
3,0,2,0,2,1,2,2,2,2,0,2,0,1,0,1,2,1,17,5,1
1,1,2,2,2,0,2,1,0,2,2,2,1,1,0,1,2,2,6,11,0
3,1,3,1,0,1,3,1,3,2,2,0,1,1,2,1,1,1,17,7,1
4,0,3,2,0,0,3,1,3,2,0,2,0,1,2,0,1,1,5,14,1
3,2,1,0,2,0,2,0,3,2,1,1,3,1,0,0,1,2,23,15,0
3,0,2,0,2,1,2,1,3,2,0,2,1,1,0,1,1,1,13,15,1
3,0,2,2,2,0,1,1,0,1,0,2,3,1,0,1,2,1,8,6,1
3,0,1,1,2,2,3,1,2,2,0,2,1,2,2,0,2,1,23,14,1
3,0,3,2,1,0,0,0,0,1,1,1,1,2,0,1,1,1,2,10,1
4,0,1,2,2,0,2,1,3,2,1,2,1,1,0,1,1,1,2,12,1
4,0,2,2,1,1,2,1,0,2,0,2,3,1,2,1,2,2,16,7,0
3,0,2,2,1,0,2,1,1,2,1,2,1,2,0,1,0,2,15,7,0
4,0,2,0,1,0,0,0,0,1,1,2,1,1,0,0,2,2,4,10,0
3,3,2,0,2,1,2,1,0,2,0,2,1,2,0,1,0,0,4,12,0
3,1,3,1,0,1,1,1,2,2,0,2,0,1,2,0,0,1,20,12,1
3,1,2,1,2,0,2,2,2,2,0,2,1,1,2,0,1,2,30,2,0
3,1,3,1,1,1,1,2,3,2,2,2,1,2,0,1,1,1,20,11,1
4,0,2,0,1,0,2,2,3,2,0,2,3,1,0,1,2,1,24,0,1
3,1,1,1,1,1,3,0,2,2,2,0,3,2,2,1,0,2,13,0,0
4,0,1,1,1,2,0,2,2,2,0,1,3,1,0,2,0,1,5,13,1
4,0,2,2,1,0,0,1,3,0,0,2,1,2,0,1,2,1,4,12,1
3,0,1,2,1,0,2,1,3,1,2,1,1,2,2,1,1,1,8,12,1
3,0,2,2,2,0,2,1,2,2,0,2,1,1,0,1,1,1,39,0,1
3,0,3,0,2,0,2,1,3,2,0,2,0,2,0,1,1,1,4,12,1
3,0,2,0,2,0,2,1,3,2,0,1,1,1,0,1,2,2,4,12,0
3,0,3,2,2,0,2,1,2,2,0,2,1,1,2,0,1,1,14,6,1
3,0,3,2,0,0,0,2,3,1,0,1,1,2,0,1,0,2,4,0,0
3,0,1,1,2,0,2,2,2,2,0,2,3,1,2,0,0,2,14,5,0
4,0,2,1,2,0,2,2,3,2,1,2,0,1,0,1,1,1,25,13,1
4,0,2,0,2,0,3,1,3,2,1,2,1,2,0,1,1,1,4,12,1
3,0,2,2,2,0,2,1,1,2,0,2,0,2,0,0,2,2,10,10,0
4,0,2,2,0,0,0,0,3,0,0,2,1,2,0,1,2,1,0,0,1
3,0,2,1,0,1,1,1,0,2,0,2,3,0,2,0,2,2,16,7,0
3,0,1,0,2,1,1,1,3,2,0,2,0,1,2,0,2,2,12,12,0
3,0,2,2,2,1,2,1,0,1,2,2,1,0,2,1,1,1,4,6,1
0,2,2,0,2,0,0,0,3,0,1,1,1,2,0,0,2,2,0,0,0
4,0,2,2,2,0,2,1,3,2,0,2,0,1,0,1,1,1,4,4,1
4,0,2,2,2,0,2,1,0,0,0,2,0,2,0,1,1,1,4,12,1
3,0,3,0,1,0,1,1,2,2,2,0,0,0,2,1,1,1,2,12,1
3,0,1,1,0,1,1,1,3,2,0,2,1,1,2,0,1,1,7,13,1
3,0,2,0,1,1,2,2,0,1,1,1,1,2,0,0,2,2,4,9,0
3,0,2,0,2,1,2,1,3,2,0,0,1,1,0,1,2,2,13,6,0
4,0,2,2,1,0,0,0,3,0,1,1,1,2,0,1,1,1,4,0,1
4,0,2,0,2,0,2,1,0,1,2,0,3,1,2,0,2,1,4,12,1
4,2,2,0,2,1,0,0,1,0,1,1,1,1,0,1,1,1,1,10,1
4,0,3,2,0,0,2,2,0,1,1,1,0,1,2,1,1,2,4,0,0
3,3,3,2,2,0,2,2,3,2,0,2,2,1,1,2,2,2,4,0,0
3,0,2,2,2,0,2,2,0,2,0,2,1,1,0,1,1,1,32,14,1
3,0,2,2,0,0,2,1,3,2,2,2,1,1,2,1,1,1,34,0,1
3,3,3,1,1,1,2,2,1,1,0,2,0,1,0,1,1,2,3,9,0
4,0,3,0,2,0,0,0,1,2,0,2,1,2,0,1,1,1,3,10,1
4,1,3,0,2,0,2,2,3,1,0,2,1,2,0,1,1,1,4,7,1
3,0,2,0,2,0,2,2,3,1,0,2,1,1,0,0,1,1,5,4,1
3,0,3,2,1,0,1,2,0,1,0,1,1,1,0,1,1,1,24,7,1
3,0,2,2,0,0,2,1,3,2,0,2,1,1,0,1,1,2,4,0,0
3,0,1,0,2,0,2,1,3,1,2,2,3,1,0,2,2,1,9,4,1
3,1,2,0,1,1,2,0,1,2,0,0,1,1,0,1,1,1,38,3,1
3,0,1,0,2,0,2,1,3,1,2,2,1,1,0,0,2,2,22,11,0
3,0,3,0,2,0,1,1,3,2,2,0,1,0,0,1,1,2,16,6,0
3,0,1,2,1,0,2,2,3,1,0,2,1,2,0,0,1,1,4,10,1
3,0,2,2,2,1,2,2,3,1,1,1,3,1,2,1,2,2,4,0,0
4,0,2,2,0,0,2,1,0,2,2,2,1,2,0,1,1,2,4,0,0
3,0,2,0,2,0,2,1,3,2,2,2,1,1,0,1,1,1,13,7,1
3,0,3,2,2,0,1,2,0,0,0,1,1,1,0,0,2,1,10,7,1
3,0,2,1,2,2,2,0,3,0,0,2,1,2,2,1,1,2,16,3,0
3,1,2,3,0,0,0,2,0,2,1,0,1,2,1,1,1,1,27,0,1
3,0,3,0,1,1,2,2,3,2,0,2,1,1,0,1,1,1,36,12,1
1,0,1,0,1,0,2,1,1,1,0,1,2,1,0,1,0,1,32,4,1
0,0,2,2,1,0,1,0,0,1,0,0,1,1,0,0,0,1,23,14,1
3,2,1,0,0,1,1,0,2,0,0,1,1,0,0,0,1,1,2,2,1
3,0,1,1,1,1,2,0,1,1,1,0,1,1,1,0,0,0,33,8,0
3,0,2,0,1,0,1,0,2,0,0,1,2,0,0,0,1,0,38,3,0
2,2,0,1,0,0,2,0,0,0,1,0,2,1,0,1,0,1,7,8,1
0,0,0,2,1,1,1,0,1,1,1,0,0,1,0,0,0,1,11,12,1
1,2,2,2,0,1,0,1,0,0,0,1,2,0,1,1,1,0,18,11,0
3,1,1,1,1,0,0,1,2,0,0,0,0,1,0,0,0,0,24,11,0
0,1,1,1,0,1,0,1,2,0,1,1,0,0,1,1,1,1,15,6,1
4,0,2,0,0,0,2,0,0,1,1,0,2,0,0,1,1,1,19,3,1
0,0,1,1,1,1,0,0,1,1,1,1,0,1,1,1,1,1,14,5,1
2,0,1,1,0,1,0,1,1,1,0,1,1,0,0,1,0,1,16,1,1
1,2,2,2,0,0,1,0,0,1,0,0,0,0,1,0,1,0,2,5,0
0,0,0,2,1,1,2,0,1,0,0,1,0,0,0,0,1,0,13,3,0
1,2,1,2,0,1,2,0,0,0,0,1,0,1,0,1,1,0,1,8,0
1,2,1,1,1,1,2,1,1,0,1,1,0,0,1,1,0,0,11,7,0
1,0,2,0,0,1,0,0,1,1,1,1,1,0,1,1,1,0,18,14,0
4,0,0,2,1,0,2,0,1,0,1,1,2,0,0,0,0,1,2,7,1
0,1,0,2,1,1,1,1,0,0,0,1,1,0,1,1,1,1,32,14,1
4,1,0,1,1,1,2,0,0,0,0,0,2,1,1,0,1,1,35,13,1
2,1,1,2,0,1,2,1,0,0,0,0,1,0,0,0,0,1,13,12,1
0,2,2,1,0,0,2,1,1,1,0,1,2,1,0,1,0,1,0,6,1
3,2,0,0,0,0,1,1,0,1,1,0,1,0,1,1,1,1,6,2,1
4,2,2,0,0,0,1,1,1,1,1,0,2,1,0,1,1,1,9,12,1
0,0,0,1,0,1,0,0,2,1,1,0,2,1,0,1,0,0,29,13,0
3,2,0,0,1,0,1,0,2,1,1,0,0,0,1,0,0,1,28,12,1
2,2,0,2,1,0,1,1,0,0,1,1,1,0,1,0,0,1,27,7,1
0,2,0,2,1,0,0,0,0,1,0,0,2,0,0,0,0,0,17,5,0
2,2,2,0,1,0,2,0,2,1,0,0,2,0,1,1,0,0,34,2,0
0,2,0,1,0,1,0,1,1,0,0,1,1,1,0,0,0,0,36,13,0
2,0,2,0,1,0,1,1,2,1,0,1,0,1,0,0,0,0,19,2,0
3,1,1,2,1,0,1,1,2,1,0,1,2,0,0,1,1,1,25,1,1
0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,1,1,1,2,10,1
0,2,1,0,1,1,2,1,1,1,0,1,0,0,0,1,0,1,3,12,1
4,0,2,0,1,0,0,0,1,1,1,0,0,0,1,0,1,0,38,3,0
3,1,2,2,1,0,2,1,1,0,0,1,1,0,0,1,0,0,31,14,0
1,2,2,2,0,1,2,0,2,1,1,1,0,0,0,0,1,1,7,10,1
0,0,1,2,0,1,1,1,0,1,0,1,0,0,0,0,0,0,9,2,0
1,0,0,2,0,0,0,0,1,0,1,0,1,0,0,0,0,0,20,13,0
1,2,1,0,0,1,1,0,0,0,1,1,1,1,1,0,0,0,17,1,0
0,0,2,1,1,1,0,0,1,0,1,0,2,0,1,0,1,1,13,11,1
4,1,0,0,0,1,0,1,2,0,0,0,2,0,0,1,0,0,4,14,0
3,0,0,0,0,1,1,0,2,0,0,0,0,1,1,0,1,0,19,4,0
2,1,1,2,1,0,2,0,0,0,1,0,2,0,0,1,1,0,25,7,0
2,1,0,2,0,1,2,1,1,0,0,1,1,1,1,1,1,1,31,5,1
4,2,1,1,1,0,2,1,1,0,1,1,2,1,0,1,0,0,8,2,0
0,1,0,0,1,1,2,0,1,0,1,0,1,0,1,0,0,0,35,5,0
3,1,1,2,1,1,0,1,1,1,1,0,0,1,1,1,0,0,14,6,0
0,1,1,1,1,0,1,0,0,0,0,1,0,1,1,0,1,0,25,11,0
0,2,0,1,1,0,0,0,2,0,0,0,1,1,0,0,1,0,30,4,0
1,1,1,1,1,1,2,0,0,1,1,1,0,1,1,0,1,1,2,12,1
2,2,1,0,1,1,2,1,0,0,0,0,0,1,0,1,1,0,34,10,0
2,2,1,2,0,1,0,0,0,1,1,0,1,0,0,1,1,0,33,1,0
1,2,2,1,0,0,2,0,0,0,0,1,1,0,1,1,1,1,15,14,1
2,0,2,0,0,0,1,1,1,0,0,0,1,1,1,0,1,0,13,3,0
0,0,0,2,1,0,2,0,0,0,0,1,0,1,1,0,1,0,4,1,0
1,0,0,1,0,0,2,0,2,0,1,0,1,1,1,0,0,0,15,8,0
0,2,2,2,0,1,1,0,1,1,0,1,2,0,1,1,0,1,11,5,1
3,1,0,2,1,1,2,0,1,0,1,0,2,1,1,1,0,0,11,9,0
3,0,2,2,1,1,2,1,1,1,0,0,1,0,1,1,1,0,33,9,0
1,2,1,0,1,1,2,0,0,0,0,1,2,0,1,0,0,0,2,7,0
3,2,0,1,0,0,0,0,2,0,0,0,1,1,0,1,0,0,27,10,0
3,0,0,2,0,1,1,0,1,1,0,0,0,0,1,0,1,1,29,8,1
0,0,2,1,1,1,1,0,0,1,1,1,2,0,1,1,0,0,37,6,0
4,1,0,0,1,0,0,0,1,1,0,1,1,1,0,0,0,0,34,2,0
4,0,2,2,1,1,1,0,1,1,1,0,2,0,0,0,0,1,23,4,1
1,1,0,1,0,1,1,1,2,1,0,1,1,0,1,0,1,0,23,3,0
2,2,1,0,1,0,2,0,1,1,1,1,1,0,1,0,1,0,11,13,0
0,1,0,2,1,0,2,0,0,0,0,0,2,0,1,1,1,1,2,0,1
2,2,2,2,1,1,1,1,1,0,0,0,2,0,1,1,0,0,16,11,0
3,0,0,1,1,1,1,0,2,0,0,1,2,1,0,0,1,0,30,9,0
4,2,0,0,1,1,2,0,0,1,0,1,0,1,1,0,0,0,22,12,0
1,2,1,0,0,1,1,1,2,0,1,1,2,1,1,1,1,1,2,4,1
4,2,1,1,0,1,2,0,1,1,0,0,0,1,1,0,1,1,32,2,1
1,1,1,1,1,0,1,1,2,0,0,1,2,1,0,1,0,1,19,9,1
2,1,0,1,1,1,1,1,2,1,0,1,2,1,1,0,1,0,27,5,0
0,1,2,2,1,0,0,1,0,1,1,0,2,0,1,0,1,1,25,12,1
3,0,2,2,1,1,0,1,1,0,0,1,1,0,0,0,0,1,17,11,1
3,0,1,1,1,0,1,0,0,0,1,0,2,0,0,0,1,0,8,4,0
4,0,2,2,1,1,0,0,0,0,1,1,0,1,0,1,0,0,11,6,0
2,1,2,1,0,1,1,0,0,1,0,0,2,1,1,0,1,1,14,9,1
0,1,1,1,0,0,1,1,1,1,0,1,1,0,0,0,0,1,23,11,1
0,1,2,0,0,1,0,0,1,1,0,1,1,1,1,1,1,0,28,13,0
1,1,0,1,1,0,2,1,1,0,0,1,0,0,1,1,1,0,38,5,0
2,0,0,0,1,0,2,1,2,1,0,0,1,0,1,0,0,1,12,5,1
1,1,0,2,0,1,2,1,2,1,0,0,2,1,0,1,0,0,1,6,0
4,2,0,1,0,0,1,1,0,1,1,0,2,0,0,1,1,1,12,1,1
2,1,1,2,1,1,1,0,0,1,0,0,2,0,1,0,1,0,24,11,0
2,2,2,1,1,1,2,0,0,1,1,1,0,1,1,0,0,1,5,5,1
3,1,2,2,1,0,1,0,2,1,1,0,2,0,1,0,1,0,9,4,0
0,1,2,1,1,1,0,1,0,0,1,0,2,1,0,1,0,0,5,9,0
0,1,2,2,1,1,1,1,0,0,1,0,0,1,1,0,1,1,7,2,1
3,0,2,1,1,1,0,0,0,1,0,1,1,0,0,1,1,1,7,13,1
1,2,2,1,0,0,0,1,1,1,0,0,1,1,0,1,0,0,10,2,0
0,2,0,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,9,8,0
4,2,0,1,0,1,1,1,2,0,1,1,2,0,1,1,0,0,27,11,0
0,1,1,1,1,1,0,1,0,1,1,1,2,1,0,0,1,1,16,14,1
0,0,1,1,0,0,0,1,2,0,1,1,2,1,1,0,0,0,20,9,0
2,0,0,0,1,1,0,1,0,0,0,1,0,1,0,1,0,1,20,2,1
1,2,0,1,0,1,0,1,0,1,1,1,2,1,0,1,0,0,7,13,0
4,2,1,0,1,1,0,1,2,0,1,1,0,0,1,0,0,0,19,3,0
1,1,2,2,1,1,0,0,1,0,1,1,2,1,0,1,1,1,38,11,1
4,1,2,1,0,1,1,0,1,1,0,0,0,1,1,1,1,1,22,13,1
3,0,0,2,1,0,2,0,2,0,1,1,1,1,0,0,1,0,16,7,0
2,1,1,2,0,1,1,0,1,1,1,1,2,1,0,1,0,0,2,10,0
4,2,1,0,1,0,0,0,0,1,1,1,2,1,0,1,0,1,27,14,1
2,2,0,1,0,1,1,1,0,1,0,1,0,0,0,0,1,1,20,13,1
4,0,2,1,1,1,2,1,1,0,0,1,0,1,1,0,0,1,6,1,1
3,0,2,1,1,0,1,1,1,0,0,0,2,0,1,1,1,1,31,3,1
2,0,1,2,1,1,2,1,1,1,1,0,0,0,1,1,1,0,18,10,0
2,2,2,0,0,1,2,0,1,1,1,1,2,1,0,1,1,0,14,4,0
4,2,2,0,0,1,2,1,1,0,0,0,0,1,1,0,1,1,8,13,1
1,0,1,1,1,1,2,0,2,1,1,0,0,1,0,0,1,0,16,10,0
3,2,1,2,1,1,0,1,1,0,1,0,0,0,0,0,0,1,38,1,1
0,2,1,2,0,1,0,1,2,0,1,1,2,0,1,1,1,1,34,11,1
4,1,1,2,1,0,2,1,1,0,1,0,1,0,1,0,0,1,15,11,1
4,1,2,0,1,0,0,1,1,1,0,1,2,1,0,1,1,1,22,0,1
3,0,1,0,1,1,2,0,0,0,0,0,1,0,0,0,0,1,24,3,1
0,0,2,2,0,1,0,1,0,0,1,0,1,1,0,0,0,1,13,1,1
4,0,2,0,1,1,1,1,2,0,1,1,2,1,1,0,0,0,35,6,0
3,1,1,2,0,1,0,0,2,1,0,0,0,0,0,1,0,0,22,9,0
1,0,0,0,0,0,0,1,1,1,1,1,2,1,0,0,0,0,4,1,0
2,2,2,2,1,1,0,0,0,0,1,0,1,1,1,1,1,1,10,11,1
4,1,0,0,0,0,1,0,1,1,1,1,0,0,1,0,0,0,29,8,0
1,1,1,2,1,1,2,0,0,0,1,1,2,1,0,1,0,0,11,1,0
0,1,0,0,0,1,0,1,0,1,1,1,1,1,1,0,0,1,26,12,1
0,0,0,1,0,0,2,0,2,1,1,0,0,0,1,1,1,0,36,4,0
4,0,1,0,1,1,2,0,2,1,1,1,2,1,1,0,1,1,24,10,1
4,1,2,2,1,0,2,0,2,1,0,1,2,0,1,1,1,0,28,11,0
0,2,2,2,0,1,0,1,2,1,0,1,0,0,1,1,0,0,4,7,0
3,0,1,2,1,0,0,0,0,0,1,0,2,0,1,0,0,0,21,2,0
2,2,1,2,0,1,2,0,1,0,0,1,2,1,0,1,0,0,20,5,0
2,0,1,1,0,0,2,0,0,0,0,0,1,0,0,0,1,1,0,2,1
2,2,0,2,1,0,1,1,0,1,0,0,0,1,1,1,0,0,31,4,0
2,2,2,2,0,0,0,0,1,1,0,0,1,1,0,1,0,0,13,2,0
1,1,0,1,1,0,2,1,0,0,0,0,1,1,0,0,1,0,33,8,0
0,0,0,2,0,1,2,1,1,1,0,0,1,1,0,1,0,0,30,3,0
0,0,2,0,1,0,1,0,2,1,1,0,2,1,1,0,1,1,4,14,1
1,1,0,2,0,0,1,0,1,0,1,1,0,1,0,1,0,0,29,1,0
4,0,1,1,0,1,1,0,0,1,1,1,1,1,1,0,0,0,21,5,0
0,1,1,2,1,1,2,0,2,1,0,0,1,0,1,0,1,1,19,10,1
3,1,1,1,0,0,0,1,2,1,1,0,2,1,1,1,1,0,28,6,0
1,1,2,1,0,1,0,1,2,0,0,1,1,0,0,1,1,0,11,11,0
2,2,0,0,1,1,0,0,2,1,1,0,2,0,0,0,0,1,19,7,1
2,0,2,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,30,13,0
2,2,0,2,1,0,1,0,1,0,1,0,1,0,0,1,0,1,36,13,1
2,2,2,1,0,0,0,0,2,0,1,0,1,1,1,0,1,1,38,4,1
0,0,2,2,0,1,2,1,2,1,1,0,2,0,0,0,1,1,30,9,1
1,0,0,0,0,1,2,1,0,0,1,1,0,0,0,0,1,1,8,9,1
2,1,2,0,1,1,1,1,2,1,0,1,1,0,1,1,1,1,30,13,1
4,1,1,0,0,0,0,1,2,1,1,1,0,1,1,0,1,0,21,3,0
1,0,1,1,1,0,2,1,0,0,1,1,1,0,1,1,1,0,27,1,0
0,1,2,1,0,1,0,1,0,1,1,0,1,0,1,1,0,0,36,4,0
2,1,0,1,1,0,0,1,2,0,0,1,0,1,1,0,1,0,27,7,0
3,0,2,1,0,1,0,0,1,0,1,1,1,1,0,1,1,0,2,13,0
3,1,0,1,0,0,2,0,0,1,1,1,0,0,1,0,1,0,25,7,0
0,2,0,2,1,0,1,1,2,0,1,0,1,1,1,0,1,0,29,0,0
3,0,1,0,0,0,2,0,2,0,1,1,0,1,0,0,0,0,3,14,0
2,1,0,0,0,0,0,1,2,1,1,0,0,0,1,1,1,1,36,8,1
1,0,1,1,0,1,0,1,2,1,1,1,1,0,1,0,1,0,23,12,0
4,1,2,0,1,1,2,0,0,1,1,1,1,0,1,0,1,1,25,8,1
0,2,2,2,1,0,1,0,0,1,0,1,2,1,0,0,0,1,28,10,1
1,2,0,0,0,1,2,0,1,0,0,0,2,1,0,0,0,1,31,3,1
2,2,0,1,0,0,2,0,0,0,0,0,2,0,0,0,1,1,8,3,1
2,0,1,2,1,0,1,1,1,1,1,1,0,0,0,0,0,0,29,11,0
0,2,2,1,1,1,0,1,1,1,1,0,1,0,1,0,0,0,35,8,0
0,2,1,2,0,0,2,0,0,0,1,1,0,0,1,0,0,0,18,4,0
4,2,0,2,1,1,2,0,2,0,0,0,2,1,1,1,0,1,38,3,1
2,2,1,1,0,0,0,0,2,1,0,1,0,0,0,0,0,0,4,1,0
4,1,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,16,9,1
2,1,2,2,0,1,2,1,1,1,0,0,2,0,0,0,1,1,18,12,1
2,0,1,2,1,0,1,1,1,0,1,1,2,0,0,0,1,1,11,12,1
2,2,2,0,0,1,2,0,2,1,1,0,1,1,1,0,0,0,8,11,0
1,2,1,2,0,1,0,1,2,0,0,0,0,1,0,0,0,1,16,12,1
4,2,2,2,0,1,1,0,0,0,1,1,1,1,1,0,1,1,9,5,1
3,1,0,0,0,0,1,0,2,1,0,0,1,1,1,1,1,0,3,8,0
4,1,0,2,1,1,1,0,2,0,1,0,2,1,0,1,1,1,29,1,1
0,1,2,2,0,0,2,0,1,0,0,0,1,1,1,0,1,0,15,7,0
1,0,1,2,0,1,2,0,1,0,1,1,0,0,1,1,0,0,27,1,0
3,0,0,1,0,1,2,0,1,0,1,1,0,1,0,1,0,0,11,8,0
1,1,1,2,1,1,0,0,1,0,0,1,1,1,0,1,1,1,29,6,1
3,1,2,0,0,0,1,1,2,1,0,1,2,1,0,1,0,1,18,7,1
0,0,2,1,1,1,0,1,0,1,1,1,0,1,1,0,0,0,14,12,0
3,0,2,1,1,0,0,1,1,1,1,1,2,0,1,0,0,1,34,6,1
4,2,0,0,0,0,2,1,1,1,1,0,1,0,0,1,0,1,9,11,1
1,0,0,1,0,1,2,0,1,0,1,0,1,0,0,0,0,1,11,4,1
4,0,2,1,0,0,1,1,1,0,0,1,2,1,0,0,0,1,12,9,1
0,1,0,1,0,1,0,0,2,0,1,0,0,1,1,0,1,1,25,2,1
1,2,0,0,0,1,1,0,0,1,1,1,1,1,1,0,0,0,32,7,0
1,2,2,2,1,0,1,1,1,1,1,1,1,0,0,1,1,0,5,8,0
3,1,2,2,0,1,1,0,1,1,1,0,1,1,1,0,1,1,15,0,1
4,0,1,2,1,0,0,0,2,0,1,0,2,1,0,0,1,0,34,10,0
3,2,1,0,1,1,1,1,2,0,1,1,2,1,0,1,0,1,15,4,1
3,1,0,2,1,0,1,0,0,1,0,1,2,1,0,1,1,0,8,4,0
2,2,2,0,0,0,2,0,2,1,0,1,2,1,1,1,1,0,13,11,0
1,1,2,2,1,1,1,0,0,1,1,1,2,0,1,1,1,0,29,4,0
2,2,0,2,0,0,1,1,1,0,1,0,0,1,0,1,1,1,34,4,1
4,2,0,2,1,0,1,0,0,1,1,0,1,0,0,0,1,0,5,6,0
1,0,0,1,1,1,2,1,0,1,0,0,2,0,1,1,0,0,11,4,0
0,2,1,0,1,1,1,0,0,1,1,1,2,1,1,1,1,1,25,14,1
1,0,2,1,1,0,0,1,1,0,0,1,1,1,0,0,1,0,20,8,0
2,0,1,1,1,1,1,0,0,1,0,0,0,0,0,1,1,0,11,7,0
4,1,0,2,1,1,0,0,1,1,1,1,2,0,1,0,1,0,17,5,0
0,0,0,2,0,1,0,1,2,0,1,1,0,1,0,1,1,1,23,9,1
3,2,0,1,1,0,2,0,0,0,1,0,2,1,1,0,0,1,8,2,1
4,0,0,0,0,1,2,0,2,0,1,1,1,0,1,0,0,1,0,9,1
1,0,2,2,0,1,2,1,0,1,0,0,0,0,1,1,1,1,8,2,1
3,2,1,1,0,1,1,1,2,0,1,1,1,0,0,1,1,0,30,7,0
4,1,0,0,1,0,1,1,0,0,1,0,2,0,1,0,0,1,19,4,1
4,2,1,2,0,0,0,0,1,0,0,0,1,1,0,1,0,1,8,10,1
